job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name
AI00001,AI Research Scientist,90376,USD,Senior,Contract,china,Mid,china,50,Bachelor,9,Automotive,2024-10-18,2024-11-07,5.9,Smart Analytics
AI00002,AI Software Engineer,61895,USD,Entry,Contract,canada,Mid,ireland,100,Master,1,Media,2024-11-20,2025-01-11,5.2,TechCorp Inc
AI00003,AI Specialist,152626,USD,Mid,Freelance,switzerland,Large,south korea,0,Associate,2,Education,2025-03-18,2025-04-07,9.4,Autonomous Tech
AI00004,NLP Engineer,80215,USD,Senior,Freelance,india,Mid,india,50,PhD,7,Consulting,2024-12-23,2025-02-24,8.6,Future Systems
AI00005,AI Consultant,54624,EUR,Entry,Part Time,france,Small,singapore,100,Master,0,Media,2025-04-15,2025-06-23,6.6,Advanced Robotics
AI00006,AI Architect,123574,EUR,Senior,Contract,germany,Mid,germany,50,Associate,7,Healthcare,2024-08-31,2024-10-04,5.9,Neural Networks Co
AI00007,Principal Data Scientist,79670,GBP,Mid,Freelance,united kingdom,Small,united kingdom,0,Associate,3,Gaming,2024-12-29,2025-02-28,6.3,DataVision Ltd
AI00008,NLP Engineer,70640,EUR,Entry,Freelance,france,Large,france,0,Master,0,Healthcare,2024-06-07,2024-07-01,7.6,Cloud AI Solutions
AI00009,Data Analyst,160710,USD,Senior,Contract,singapore,Large,singapore,0,PhD,7,Government,2024-11-04,2024-11-24,9.3,Quantum Computing Inc
AI00010,AI Software Engineer,102557,USD,Senior,Part Time,austria,Mid,austria,0,Master,5,Government,2024-10-20,2024-11-06,5.8,Cloud AI Solutions
AI00011,Autonomous Systems Engineer,102322,USD,Senior,Part Time,sweden,Mid,sweden,100,Associate,8,Telecommunications,2025-01-29,2025-03-05,9.9,Smart Analytics
AI00012,AI Architect,115047,USD,Executive,Contract,south korea,Small,south korea,0,Master,15,Manufacturing,2024-07-16,2024-08-19,6.8,TechCorp Inc
AI00013,AI Consultant,124355,EUR,Senior,Contract,france,Mid,france,100,PhD,5,Automotive,2024-12-29,2025-01-27,5.2,Predictive Systems
