job_id,skill
AI00001,Tableau
AI00001,PyTorch
AI00001,Kubernetes
AI00001,Linux
AI00001,NLP
AI00002,Deep Learning
AI00002,AWS
AI00002,Mathematics
AI00002,Python
AI00002,Docker
AI00003,Kubernetes
AI00003,Deep Learning
AI00003,Java
AI00003,Hadoop
AI00003,NLP
AI00004,Scala
AI00004,SQL
AI00004,Linux
AI00004,Python
AI00005,MLOps
AI00005,Java
AI00005,Tableau
AI00005,Python
AI00006,Data Visualization
AI00006,R
AI00006,SQL
AI00006,Linux
AI00007,R
AI00007,Docker
AI00007,MLOps
AI00008,Python
AI00008,SQL
AI00008,Computer Vision
AI00008,Java
AI00008,Azure
AI00009,Hadoop
AI00009,Git
AI00009,Mathematics
AI00009,Python
AI00010,MLOps
AI00010,GCP
AI00010,Scala
AI00010,Azure
AI00010,Linux
AI00011,MLOps
AI00011,Python
AI00011,SQL
AI00012,R
AI00012,Data Visualization
AI00012,Python
AI00012,Azure
AI00013,Tableau
AI00013,Python
AI00013,TensorFlow
AI00014,Scala
AI00014,SQL
AI00014,Statistics
AI00015,PyTorch
AI00015,Python
AI00015,Data Visualization
AI00015,GCP
AI00016,Linux
AI00016,Statistics
AI00016,Deep Learning
AI00017,Tableau
AI00017,NLP
AI00017,Spark
AI00018,MLOps
AI00018,PyTorch
AI00018,Azure
AI00019,Git
AI00019,Hadoop
AI00019,R
AI00019,Python
AI00019,Spark
AI00020,Java
AI00020,Scala
AI00020,NLP
AI00020,Docker
AI00020,Computer Vision
AI00021,Deep Learning
AI00021,AWS
AI00021,Azure
AI00022,Tableau
AI00022,Spark
AI00022,NLP
AI00022,TensorFlow
AI00022,PyTorch
AI00023,Hadoop
AI00023,Git
AI00023,Tableau
AI00024,Git
AI00024,Hadoop
AI00024,Docker
AI00025,AWS
AI00025,Azure
AI00025,Git
AI00025,SQL
AI00025,Computer Vision
AI00026,Linux
AI00026,Git
AI00026,Tableau
AI00026,Kubernetes
AI00026,Data Visualization
AI00027,Hadoop
AI00027,Linux
AI00027,Git
AI00027,Scala
AI00028,Mathematics
AI00028,Kubernetes
AI00028,TensorFlow
AI00028,Tableau
AI00028,PyTorch
AI00029,Python
AI00029,Scala
AI00029,NLP
AI00029,Mathematics
AI00029,Git
AI00030,Azure
AI00030,Python
AI00030,Computer Vision
AI00030,Kubernetes
AI00030,TensorFlow
AI00031,Deep Learning
AI00031,GCP
AI00031,AWS
AI00031,Linux
AI00031,Tableau
AI00032,Azure
AI00032,Python
AI00032,Spark
AI00033,NLP
AI00033,Scala
AI00033,Python
AI00034,Tableau
AI00034,Azure
AI00034,GCP
AI00034,Linux
AI00034,Python
AI00035,R
AI00035,GCP
AI00035,MLOps
AI00035,Linux
AI00036,Git
AI00036,Hadoop
AI00036,Data Visualization
AI00037,Data Visualization
AI00037,Tableau
AI00037,AWS
AI00037,Mathematics
AI00037,Python
AI00038,Linux
AI00038,PyTorch
AI00038,SQL
AI00038,Statistics
AI00039,Tableau
AI00039,Docker
AI00039,GCP
AI00040,Computer Vision
AI00040,Azure
AI00040,Tableau
AI00041,Data Visualization
AI00041,Azure
AI00041,Spark
AI00041,MLOps
AI00042,Java
AI00042,Mathematics
AI00042,SQL
AI00043,Spark
AI00043,Mathematics
AI00043,GCP
AI00044,Hadoop
AI00044,Docker
AI00044,Python
AI00044,Azure
AI00045,Docker
AI00045,R
AI00045,Linux
AI00046,Data Visualization
AI00046,Statistics
AI00046,R
AI00047,Scala
AI00047,Java
AI00047,Tableau
AI00048,Java
AI00048,Azure
AI00048,GCP
AI00049,Deep Learning
AI00049,Git
AI00049,Data Visualization
AI00049,Linux
AI00049,Java
AI00050,Hadoop
AI00050,AWS
AI00050,Linux
AI00050,Docker
AI00050,Statistics
AI00051,Deep Learning
AI00051,SQL
AI00051,Mathematics
AI00052,Linux
AI00052,R
AI00052,Azure
AI00052,Mathematics
AI00052,Git
AI00053,Docker
AI00053,Tableau
AI00053,Mathematics
AI00054,R
AI00054,PyTorch
AI00054,Kubernetes
AI00054,Computer Vision
AI00055,Python
AI00055,Tableau
AI00055,TensorFlow
AI00055,AWS
AI00056,Azure
AI00056,Kubernetes
AI00056,TensorFlow
AI00056,Statistics
AI00056,Spark
AI00057,Python
AI00057,Docker
AI00057,GCP
AI00057,Scala
AI00058,Git
AI00058,Linux
AI00058,Python
AI00058,TensorFlow
AI00058,Mathematics
AI00059,PyTorch
AI00059,Computer Vision
AI00059,R
AI00060,R
AI00060,Spark
AI00060,AWS
AI00061,Tableau
AI00061,NLP
AI00061,Azure
AI00061,Statistics
AI00061,PyTorch
AI00062,TensorFlow
AI00062,Azure
AI00062,Computer Vision
AI00062,Data Visualization
AI00063,TensorFlow
AI00063,Scala
AI00063,Docker
AI00063,Statistics
AI00064,Java
AI00064,R
AI00064,Deep Learning
AI00064,NLP
AI00064,Azure
AI00065,Java
AI00065,Git
AI00065,Deep Learning
AI00066,Mathematics
AI00066,Spark
AI00066,Python
AI00066,AWS
AI00067,SQL
AI00067,Java
AI00067,MLOps
AI00067,Linux
AI00067,PyTorch
AI00068,Python
AI00068,Scala
AI00068,Statistics
AI00068,Git
AI00069,Hadoop
AI00069,Python
AI00069,Kubernetes
AI00069,Azure
AI00070,MLOps
AI00070,Kubernetes
AI00070,Git
AI00070,Python
AI00071,AWS
AI00071,Kubernetes
AI00071,Azure
AI00072,PyTorch
AI00072,Kubernetes
AI00072,Git
AI00072,SQL
AI00073,NLP
AI00073,Azure
AI00073,Statistics
AI00073,Spark
AI00073,Mathematics
AI00074,Linux
AI00074,R
AI00074,Tableau
AI00075,Scala
AI00075,R
AI00075,Tableau
AI00075,Data Visualization
AI00076,Mathematics
AI00076,Kubernetes
AI00076,Spark
AI00077,Kubernetes
AI00077,Spark
AI00077,Statistics
AI00077,Scala
AI00078,MLOps
AI00078,SQL
AI00078,Statistics
AI00079,Scala
AI00079,MLOps
AI00079,NLP
AI00080,PyTorch
AI00080,Linux
AI00080,SQL
AI00081,Git
AI00081,Kubernetes
AI00081,TensorFlow
AI00081,R
AI00081,Java
AI00082,R
AI00082,Tableau
AI00082,SQL
AI00082,MLOps
AI00082,Docker
AI00083,NLP
AI00083,Azure
AI00083,Spark
AI00083,Data Visualization
AI00084,Java
AI00084,SQL
AI00084,Spark
AI00084,Tableau
AI00084,Azure
AI00085,Docker
AI00085,Python
AI00085,Git
AI00085,Kubernetes
AI00085,Java
AI00086,Git
AI00086,MLOps
AI00086,Hadoop
AI00086,Python
AI00086,Spark
AI00087,SQL
AI00087,Kubernetes
AI00087,Docker
AI00088,R
AI00088,NLP
AI00088,SQL
AI00088,GCP
AI00089,Spark
AI00089,SQL
AI00089,Python
AI00089,Mathematics
AI00089,Linux
AI00090,PyTorch
AI00090,Hadoop
AI00090,Scala
AI00090,Computer Vision
AI00091,Hadoop
AI00091,Spark
AI00091,Kubernetes
AI00091,Python
AI00092,Hadoop
AI00092,Python
AI00092,TensorFlow
AI00092,R
AI00092,Statistics
AI00093,Computer Vision
AI00093,PyTorch
AI00093,GCP
AI00093,Linux
AI00094,Java
AI00094,Hadoop
AI00094,Mathematics
AI00095,Linux
AI00095,R
AI00095,NLP
AI00095,PyTorch
AI00095,Git
AI00096,Statistics
AI00096,Python
AI00096,TensorFlow
AI00096,PyTorch
AI00096,Git
AI00097,Kubernetes
AI00097,Scala
AI00097,Java
AI00098,Deep Learning
AI00098,Statistics
AI00098,Computer Vision
AI00098,TensorFlow
AI00098,Mathematics
AI00099,Python
AI00099,AWS
AI00099,Kubernetes
AI00099,Deep Learning
AI00100,AWS
AI00100,Kubernetes
AI00100,Docker
AI00100,Mathematics
AI00100,MLOps
AI00101,Scala
AI00101,Git
AI00101,Java
AI00102,Azure
AI00102,AWS
AI00102,PyTorch
AI00102,GCP
AI00102,Hadoop
AI00103,Spark
AI00103,Mathematics
AI00103,PyTorch
AI00103,SQL
AI00103,TensorFlow
AI00104,SQL
AI00104,Python
AI00104,Deep Learning
AI00105,TensorFlow
AI00105,GCP
AI00105,PyTorch
AI00105,Spark
AI00106,Git
AI00106,SQL
AI00106,PyTorch
AI00106,Mathematics
AI00107,Data Visualization
AI00107,PyTorch
AI00107,Spark
AI00107,TensorFlow
AI00108,TensorFlow
AI00108,SQL
AI00108,NLP
AI00108,Computer Vision
AI00108,Git
AI00109,Java
AI00109,R
AI00109,Git
AI00109,Mathematics
AI00109,Spark
AI00110,PyTorch
AI00110,Docker
AI00110,GCP
AI00111,Computer Vision
AI00111,Hadoop
AI00111,Git
AI00111,AWS
AI00112,TensorFlow
AI00112,Linux
AI00112,SQL
AI00112,Hadoop
AI00113,SQL
AI00113,Scala
AI00113,Python
AI00114,NLP
AI00114,Computer Vision
AI00114,Mathematics
AI00114,Statistics
AI00114,R
AI00115,Azure
AI00115,R
AI00115,Linux
AI00115,MLOps
AI00116,R
AI00116,AWS
AI00116,Computer Vision
AI00116,Statistics
AI00116,Docker
AI00117,Kubernetes
AI00117,SQL
AI00117,Azure
AI00117,Deep Learning
AI00117,Linux
AI00118,PyTorch
AI00118,SQL
AI00118,MLOps
AI00118,AWS
AI00118,TensorFlow
AI00119,MLOps
AI00119,R
AI00119,Git
AI00119,Mathematics
AI00120,Linux
AI00120,Scala
AI00120,SQL
AI00120,Git
AI00121,Git
AI00121,Deep Learning
AI00121,Kubernetes
AI00121,Linux
AI00121,GCP
AI00122,Git
AI00122,SQL
AI00122,Scala
AI00122,Python
AI00122,Computer Vision
AI00123,Python
AI00123,Tableau
AI00123,Java
AI00124,Docker
AI00124,AWS
AI00124,Linux
AI00124,Git
AI00124,Azure
AI00125,PyTorch
AI00125,Scala
AI00125,Linux
AI00125,Tableau
AI00125,Deep Learning
AI00126,Docker
AI00126,SQL
AI00126,Kubernetes
AI00126,Git
AI00126,Statistics
AI00127,Statistics
AI00127,R
AI00127,Python
AI00127,TensorFlow
AI00128,Kubernetes
AI00128,Azure
AI00128,Spark
AI00128,TensorFlow
AI00128,Linux
AI00129,GCP
AI00129,R
AI00129,Azure
AI00129,Deep Learning
